Method;sim_On_target;sim_Underdosed;sim_Overdosed;all_On_target;all_Underdosed;all_Overdosed;con_On_target;con_Underdosed;con_Overdosed
XGboost;36;26;38;26;15;59;35;21;44
RF;37;26;37;25;13;62;33;19;48
SVM;37;31;32;26;8;66;32;12;56
KNN;36;26;38;26;19;55;30;26;44
WME;23;7;70;31;13;56;44;19;37
CT informed ens;31;43;26;31;14;55;40;21;39
RT informed ens;36;39;25;36;14;50;45;19;36
FAMD;37;34;29;35;15;50;49;22;29
Carlier;28;58;14;40;23;37;48;29;23
Fournier;32;40;28;31;6;63;40;10;50
Mellon;14;26;60;20;16;64;29;23;48
Rambaud;17;4;79;28;15;57;40;22;38
Standard dose;16;73;11;27;37;36;29;35;36
Uninformed ens;32;38;30;28;16;56;39;23;38
Nomogram;22;63;15;30;10;60;32;8;60
Meta model;28;12;60;36;14;50;37;18;45
Method ens;35;28;37;27;16;57;35;18;47
Stacking;28;64;8;31;18;51;37;17;46
