Cohort;Method;Carlier;Fournier;Mellon;Rambaud;TA
Carlier;CT informed ens;31;38;30;1;20
Carlier;RT informed ens;31;64;4;1;26
Carlier;FAMD;52;2;1;45;25
Carlier;WME;6;15;6;73;6
Fournier;CT informed ens;31;38;30;1;30
Fournier;RT informed ens;8;85;6;1;36
Fournier;FAMD;2;93;0;5;38
Fournier;WME;5;17;8;70;14
Mellon;CT informed ens;31;38;30;1;16
Mellon;RT informed ens;11;13;74;2;34
Mellon;FAMD;9;3;74;14;33
Mellon;WME;0;3;8;89;5
Rambaud;CT informed ens;19;23;18;40;69
Rambaud;RT informed ens;3;8;4;85;68
Rambaud;FAMD;37;4;0;59;68
Rambaud;WME;14;20;6;60;68
